,description,url,Model,Year,Volume,Run,Price
0,"Pārdošanā ļoti kopts Audi A4. S-line. 2.7 dīzelis, manuāls. Pirms gada atves",https://ss.com/msg/en/transport/cars/audi/a4/akpxc.html,A4,2007,2.7D,-,"4,650  €"
1,Īpašniece bez steigas pārdod Audi A3 ar ļoti klusu un ekonomisku (6-8l/100) ,https://ss.com/msg/en/transport/cars/audi/a3/bdlpjj.html,A3,2008,1.8,180 thd.,"7,200  €"
2,"Audi-A4, 2.7 Tdi, 190zs. Automāts. 

-Bi-xenon, Led. 
-Navigācija, 
-Mmi",https://ss.com/msg/en/transport/cars/audi/a4/bcnxxl.html,A4,2008,2.7D,333 thd.,"6,650  €"
3,Audi A8 3.0Tdi Quattro Facelift S-Line Auto perfekta stavokli. Motor un Karb,https://ss.com/msg/en/transport/cars/audi/a8/dkhpi.html,A8,2007,3.0D,-,"8,950  €"
4,"Sveiki. Pārdodu šo auto jo iegādājos jaunu, divi auto nav nepieciešami. Mašī",https://ss.com/msg/en/transport/cars/audi/a6/fmbnc.html,A6,2005,3.0D,346 thd.,"4,800  €"
5,"Skate līdz decembrim. 
Vizuāli ir defekti. 
Jānomaina vai nu degvielas sūk",https://ss.com/msg/en/transport/cars/audi/a4/cpckj.html,A4,1999,2.5D,314 thd.,750  €
6,Pērkam buy покупаем. Jebkādas markas auto ar vai bez tehniskās apskates. Aut,https://ss.com/msg/en/transport/cars/audi/rs6/hhmdo.html,RS6,-,-,-,buy 
7,Pērkam buy покупаем. Jebkādas markas auto ar vai bez tehniskās apskates. Aut,https://ss.com/msg/en/transport/cars/audi/tt/aadgp.html,TT,-,-,-,buy 
8,Auto tikko no vācijas. Iespējama nomaksa bez banku starpniecības. Pirmā iema,https://ss.com/msg/en/transport/cars/audi/a4/fgdxi.html,A4,1996,1.8,-,"1,700  €"
9,Авто в хорошем состоянии только пройден ТО дорожный налог оплачен подробност,https://ss.com/msg/en/transport/cars/audi/a4/gchll.html,A4,2006,2.7D,-,"3,100  €"
10,Pērkam buy покупаем. Jebkādas markas auto ar vai bez tehniskās apskates. Aut,https://ss.com/msg/en/transport/cars/audi/s8/bgmcp.html,S8,-,-,-,buy 
11,"Продаю или Меняю, расход 6-7л. /100км. , в Латвии 6 лет, в хорошем сосотояни",https://ss.com/msg/en/transport/cars/volkswagen/golf-5/lkhhm.html,Golf 5,2004,1.4,-,"1,499  €changing"
12,"Pilns Led Matrix Audi Lukturi. 
-dinamiskie virzienrādītāji gan priekša, ga",https://ss.com/msg/en/transport/cars/audi/a6/edpil.html,A6,2016,3.0D,207 thd.,"23,900  €"
13,Sveiki. Tiek pārdots audi a6 c4 unversāls. Laika un apņemības trūkuma dēļ. V,https://ss.com/msg/en/transport/cars/audi/a6/ddooj.html,A6,1995,2.5D,512 thd.,450  €
14,"Audi Q5 40Tdi Quattro S-Line 2.0Tdi 140kw-190zs

Servisa vēsture

Cena a",https://ss.com/msg/en/transport/cars/audi/q5/bnmick.html,Q5,2019,2.0D,174 thd.,"35,995  €"
15,"Audi A4 2.7l dīzelis. 140Kw
Tehniskā apskate derīga līdz 08.2023
Vid. d. p",https://ss.com/msg/en/transport/cars/audi/a4/hgfcg.html,A4,2008,2.7D,-,"7,190  €"
