,description,url,Model,"Volume, Gb",Cond.,Price
0,"Продаю Iphone XS 64gb, в хорошем состоянии. Батарея 73%, Все работает отлично, полнаRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-xs/bpmfxp.html,iPhone Xs,64,used,210  €
1,Продаю iPhone 8 в идеальном состоянии. На экране нету ни одной царапины. Батарея 100Riga,https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-8/bongxg.html,iPhone 8,64,new,160  €
2,"Продаю iPhone 5s 16 Gb. В хорошем состоянии , отлично работает ( после обновления прRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-5s/bgmkoh.html,iPhone 5S,64,used,50  €
3,Состояние отличное. Три чехла в подарок. Отпечаток пальца работает.Riga,https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-7/bnfjdj.html,iPhone 7,32,used,70  €
4,"Iphone-8 plus. 100% состояние аккумулятора (новый). Стекло без царапин и сколов, былRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-8-plus/bomldp.html,iPhone 8 Plus,64,used,160  €
5,"12 Pro, 128Gb, tumši pelēks. Lietots tikai ar aizsargstiklu un maciņu, tāpēc lieliskRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-12-pro/cxicpo.html,iPhone 12 Pro,128,used,550  €
6,"Pārdodu Iphone 12 Pro 256 gb Grey. Pirkts pie operātora. 

Iphone tika lietots ar Riga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-12-pro/cbcxlo.html,iPhone 12 Pro,256,used,590  €
7,"Продаю iPhone X 
Имеются заметные царапины и трещины, коробка имеется. 
Телефон орRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-x/boofnh.html,iPhone X,256,used,70  €
8,Pārdodu Apple iPhone SE 32Gb (Space Grey).Riga,https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-se/bmnjln.html,iPhone SE,32,used,60  €
9,"Продаю iPhone SE, 32gb. Здоровье батареи 87% (оригинал). Экран без царапин и сколов.Riga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-se/bmjeeb.html,iPhone SE,32,used,50  €
10,"Pārdodu iPhone XS 64 GB, Space Grey modeli, līdzi kastīte. 

Tehniski - ir bijušasRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-xs/bpichh.html,iPhone Xs,64,used,140  €
11,"Pārdodu saudzīgi lietotu telefonu sakarā jaunāka modeļa iegādi. 
Perfektā stāvoklī Riga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-8/bongkp.html,iPhone 8,64,used,100  €
12,Perfekts stāvoklis. 256gb. Pilns komplekts. Lietots 2 mēnešus. Garatnija līdz 07.202Riga,https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-13-pro/cbcgco.html,iPhone 13 Pro,256,used,880  €
13,"Продаю Iphone 14, Midnight, 256 gb, новый в упаковкеRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-14/cbimjl.html,iPhone 14,256,new,900  €
14,"Pārdodu iphone xs max gold. 
Telefons ļoti labā stāvoklī. Vizuāli kā jauns. 
AkumuRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-xs-max/bpeoeg.html,iPhone Xs Max,64,used,285  €
15,"Pārdodu nepilnu nedēļu lietotu Iphone 14 128Gb, perfektā stāvoklī, nav skrbiņu vai šRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-14/cbimjj.html,iPhone 14,128,new,950  €
16,"Piedāvājam mazlietotu iphone 11 64Gb
Kategorija: Mobilais telefons
Kamera: 12Mp
PRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-11/cxcdgp.html,iPhone 11,64,used,300  €
17,"Pārdodu Iphone 11Pro Midnight Green 64Gb laba stāvokli lietots saudzīgi , komplektācRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-11-pro/cxcdgf.html,iPhone 11 Pro,64,used,390  €
18,"Продаю iPhone 7, Gold. Отличное состояние, как новый. Работает на все сети. Не привяRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-7/bndhlx.html,iPhone 7,32,used,99  €
19,"/3

Iphone 11 pro. 64 gb. Ideàlà stávoklì. Bez lietošanas pazìmèm. Pilns komplektsRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-11-pro/cxjeed.html,iPhone 11 Pro,64,used,380  €
20,Продаю телефон мобильный Apple iPhone 13 Pro Max - 256 Gb Pacific Blue . Jauns. НовыRiga,https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-13-pro-max/cbdlhx.html,iPhone 13 Pro Max,256,new,"1,170  €"
21,"Продаю в отличном техническом состоянии. В ремонтах не был, экран в идеальном состояRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-12-pro/cbimje.html,iPhone 12 Pro,128,used,660  €
22,"5S Gold 16Gb, Displejs orģināls kā jauns, ļoti labā stāvoklī
icloud neatceros, nevaRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-5s/bgngpg.html,iPhone 5S,16,used,25  €
23,"Iphone 5s. 16 Gb. Normālā stāvoklī visi iCloud ir tīri, darbojas, zvana. AkumulatorsRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-5s/bgmkgn.html,iPhone 5S,16,used,50  €
24,"Ideālākā stāvokli, ka jauns, pilna komplektācijaRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-7/bngfbx.html,iPhone 7,32,used,100  €
25,"Продаю iPhone Apple 8 Gold в идеальном состоянии, 64 GBRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-8/bonhmg.html,iPhone 8,64,used,185  €
26,"Pārdodu iPhone 12 Pro-256Gb, Pacific Blue. Perfektā stāvoklī. Pilns komplekts. BatteRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-12-pro/cxieec.html,iPhone 12 Pro,256,used,570  €
27,"Lieliskā stāvoklī saglabājies Iphone 8 ar 64 gb atmiņu. Komplektācijā ietilpst:
LādRiga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-8/bpbbgo.html,iPhone 8,64,used,120  €
28,"Pārdodu iPhone 13 red. Ideālā stāvoklī. Viss strādā perfekti. 
Līdzi dodu telefonu,Riga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-13/cbeigc.html,iPhone 13,128,used,620  €
29,"Pārdodu iPhone 11 Pro, Space Gray. Perfektā stāvoklī ( kā jauns ). Pilns komplekts. Riga",https://ss.com/msg/en/electronics/phones/mobile-phones/apple/iphone-11-pro/cxjcch.html,iPhone 11 Pro,64,used,399  €
