,Hotel,Ratings,No_of_Reviews,"Price, €"
0,Fitzrovia Hotel,7.8,2624,221
1,ApartaSuites Emerald,8.2,4,171
2,The Windmill On The Common,8.5,767,146
3,The Kings Arms,9.4,612,204
4,The Tommyfield Hotel,8.6,483,135
5,Innbox Hotel St. Johns Wood,7.0,35,181
6,Lancaster Hall Hotel,7.9,1050,133
7,Haven Hotel,7.0,784,79
8,Assaha Hyde Park Apartments,6.9,1298,83
9,The Tudor Inn Hotel,6.6,783,112
10,Chelsea House Hotel - B&B,7.7,1492,111
11,The Darlington Hyde Park,8.2,696,159
12,Coach & Horses Hotel,8.8,769,142
13,My Place Hotel,6.2,533,118
14,The Station Hotel,8.5,434,112
15,The Bedford Balham - Live Music Venue,8.2,666,124
16,Seven Dials Hotel,7.6,1929,127
17,Ridgemount Hotel,8.6,1294,135
18,The Distillery,7.8,141,146
19,Hyde Park Green,7.5,378,133
20,Fox and Anchor,8.3,219,215
21,Tony's House Hotel,6.3,684,80
22,The Princess Victoria,8.1,384,135
23,KX Rooms Kings Cross,6.8,414,114
24,The Chapter Hotel Hyde Park,6.8,474,117
