,Hotel,Ratings,No_of_Reviews,"Price, €"
0,YOTEL London Shoreditch,9,685,112
1,The Montcalm Royal London House,10,3356,207
2,Park Grand London Hyde Park,8,3362,159
3,The Resident Covent Garden,10,1243,302
4,Park Grand Paddington Court,9,3212,145
5,Travelodge London City hotel,9,2378,59
6,"The Biltmore Mayfair, LXR Hotels & Resorts",8,173,930
7,Canopy by Hilton London City,10,424,194
8,The Montcalm London Marble Arch,10,3812,473
9,Hard Rock Hotel London,9,2243,386
10,"The Clermont, Charing Cross",10,6724,385
11,The Tower Hotel,8,12242,156
12,Novotel London Tower Bridge,8,3709,175
13,Travelodge London Docklands Central,8,576,74
14,Leonardo Royal Hotel London St. Paul's,8,1457,214
15,Leonardo Royal London Tower Bridge,8,2147,178
16,Holiday Inn London - West,9,1281,99
17,Royal National Hotel,6,10766,217
18,Park Plaza Westminster Bridge London,9,23720,301
19,Travelodge London Central City Road,8,2198,65
20,The Montague on The Gardens,10,5449,347
21,"The Standard, London",9,495,306
22,Millennium Gloucester Hotel London Kensington,8,6715,143
23,The Resident Kensington,9,4753,200
24,Travelodge London Manor House,9,264,96
25,The Bailey's Hotel London Kensington,9,1923,233
26,The Clarendon,8,2944,154
27,Travelodge London Covent Garden,8,12307,91
28,Grand Royale London Hyde Park,8,5417,139
29,The President Hotel,7,4704,193
30,Premier Inn London Hendon (The Hyde) hotel,8,841,82
31,St. Athans Hotel,8,855,109
32,Novotel London West,8,5326,164
33,Mercure London Bridge,9,440,188
